baseline,mean_drop_advantage_CWR,wins_subjects,losses_subjects,sign_p_one_sided,wilcoxon_p_one_sided
CWR_frozen,0.09069645823610734,7,1,0.03515625,0.0078125
plain_GCCA,0.1176942054612516,8,0,0.00390625,0.00390625
ALS,0.16166215264744094,7,1,0.03515625,0.0078125
concat_PCA,0.16024430325290734,8,0,0.00390625,0.00390625
late_fusion,0.11765241751358757,8,0,0.00390625,0.00390625
