subject,scenario,suspects,arm_realign,axis_lost,resid_chest,resid_ankle,resid_arm
1,stable,,0,2,0.6616614480706677,1.022418666950828,0.6445281810714729
1,arm_rotation,,0,2,1.0075128933984767,1.4890498105951313,2.269493359015698
1,arm_axis_loss,,0,2,0.5278957607200643,1.3975249263399845,1.1272093251485795
1,arm_rotation_axis_loss,2,1,2,1.182422009660729,2.222847723830131,4.0869074180102025
2,stable,,0,1,0.498629770818459,0.3724362092205712,0.5464037955017229
2,arm_rotation,2,1,1,1.4332459520744174,1.7830010603887116,5.236765860349919
2,arm_axis_loss,,0,1,0.5561834455824994,0.4402272628318959,0.7970932522524531
2,arm_rotation_axis_loss,2,1,1,0.5974706900666408,0.6067982930160137,1.2128098015889712
3,stable,,0,1,0.3310416152407676,0.37386324981876706,0.3741828949491596
3,arm_rotation,2,1,1,1.5035801081856928,2.0034880204274264,5.978509422056328
3,arm_axis_loss,2,1,1,0.4803773452017325,0.7060652939302362,1.3372584430940277
3,arm_rotation_axis_loss,2,1,1,0.5925319044272761,0.874143871335332,1.8977247163553064
4,stable,,0,0,0.3813340084112375,0.21624636598403152,0.3746250240204868
4,arm_rotation,2,1,0,1.474933674113784,1.1122879277362112,4.353907478929939
4,arm_axis_loss,,0,0,0.4974102757334257,0.2990117820374754,0.7723083907717511
4,arm_rotation_axis_loss,2,1,0,1.5831456088039648,1.3680185851988598,5.081792663235598
5,stable,,0,1,0.9099580646189042,0.5955395313730149,0.6195905293150015
5,arm_rotation,2,1,1,1.8295930842383337,1.871059448756107,5.009900403320045
5,arm_axis_loss,,0,1,1.0232346557397654,0.8310046199136353,1.3170738886379652
5,arm_rotation_axis_loss,,0,1,0.9542521858528635,1.0308743429363758,1.5788483949096423
6,stable,,0,0,0.5392358921361047,0.4026577360829306,0.32068418256281894
6,arm_rotation,2,1,0,1.3902081274666087,1.4569467715812177,4.131206724220401
6,arm_axis_loss,2,1,0,0.7792437888087004,0.973413947571295,1.9422123988847384
6,arm_rotation_axis_loss,2,1,0,2.2707352176388373,2.5327964702896733,8.04396030198177
7,stable,,0,2,0.41811858348430736,0.31337317264083586,0.47701970533984883
7,arm_rotation,2,1,2,1.3035661896502446,1.2343139396478473,4.089796451685746
7,arm_axis_loss,2,1,2,0.43870133330814814,0.42015899114961625,0.7317568420050912
7,arm_rotation_axis_loss,2,1,2,1.3147135045456724,1.3437879663082322,4.331039134797371
8,stable,,0,0,0.756705610771385,0.6110235937906693,0.5944089449584895
8,arm_rotation,2,1,0,1.157163121888949,1.4607052227566852,3.0946872251256496
8,arm_axis_loss,2,1,0,1.4609123796755588,1.5905164434845527,3.961808182154604
8,arm_rotation_axis_loss,2,1,0,2.1821186165642894,2.9634831191367654,8.150154007236491
9,stable,,0,0,0.43819270202824534,0.30503339440338756,0.3724064647545857
9,arm_rotation,2,1,0,1.073909267184951,1.1442537704248184,3.3222803471108584
9,arm_axis_loss,2,1,0,0.6616470325018622,1.0072135460612008,2.2236754290174456
9,arm_rotation_axis_loss,2,1,0,1.460728893342524,1.964024571044334,5.7354612006650365
10,stable,,0,0,0.44281165761762925,0.42058184514826114,0.37424923538908117
10,arm_rotation,2,1,0,0.5881052559913635,0.8331819150915197,1.490036572023067
10,arm_axis_loss,,0,0,0.7654071452434437,0.5178833480950416,1.2140432165342707
10,arm_rotation_axis_loss,2,1,0,1.170324738204135,1.1448551366060284,3.277821979477628
