method,accuracy,macro_f1,acc_sd
late_fusion,0.9323782983885053,0.9224894230148751,0.07955664051083879
CWR,0.7642738076282215,0.7425826413819312,0.12294166428162458
CWR_frozen,0.7616594285432542,0.740163623796589,0.12419108277808688
ALS,0.747408470576922,0.6831036739805249,0.14665279141560192
concat_PCA,0.7471870096703797,0.684303679431137,0.13479668377471857
plain_GCCA,0.681709843242604,0.635345069753742,0.11706622014585433
