method,mean,median
ALS,0.7567895299256313,0.6481604867216235
CWR,0.5980308561057655,0.48227454161927097
concat_PCA,0.7570036197543707,0.6482816469078647
plain_GCCA,0.6013010358821895,0.4902524343965462
